,,,,,,,
CENÁRIO EXATO - Exatamente 80 aulas para 80 slots (solução única),,,,,,,,
Estratégia: 4 aulas por slot (2 grandes para Lab1/Lab2 e 2 pequenas para Lab3/Lab4),,,,,,,,
,,,,,,,,
Prof. Alpha,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Cálculo I (50 alunos),,,,Estatística V (48 alunos),,,
10-12h,Cálculo II (45 alunos),,,,Estatística VI (42 alunos),,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Cálculo III (40 alunos),,,,Estatística VII (38 alunos),,,
15:30 - 17:30,Cálculo IV (35 alunos),,,,Estatística VIII (32 alunos),,,
,,,,,,,,
,,,,,,,,
Prof. Beta,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,,Física I (52 alunos),,Física V (50 alunos),,,,
10-12h,,Física II (48 alunos),,Física VI (45 alunos),,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,,Física III (42 alunos),,Física VII (40 alunos),,,,
15:30 - 17:30,,Física IV (38 alunos),,Física VIII (35 alunos),,,,
,,,,,,,,
,,,,,,,,
Prof. Gamma,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,,,Química I (54 alunos),,,,,
10-12h,,,Química II (50 alunos),,,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,,,Química III (45 alunos),,,,,
15:30 - 17:30,,,Química IV (40 alunos),,,,,
,,,,,,,,
,,,,,,,,
Prof. Delta,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Biologia I (48 alunos),,,,Biologia V (50 alunos),,,
10-12h,Biologia II (42 alunos),,,,Biologia VI (45 alunos),,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Biologia III (38 alunos),,,,Biologia VII (40 alunos),,,
15:30 - 17:30,Biologia IV (32 alunos),,,,Biologia VIII (35 alunos),,,
,,,,,,,,
,,,,,,,,
Prof. Epsilon,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,,História I (50 alunos),,História V (48 alunos),,,,
10-12h,,História II (45 alunos),,História VI (42 alunos),,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,,História III (40 alunos),,História VII (38 alunos),,,,
15:30 - 17:30,,História IV (35 alunos),,História VIII (32 alunos),,,,
,,,,,,,,
,,,,,,,,
Prof. Zeta,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,,,Programação I (52 alunos),,,,,
10-12h,,,Programação II (48 alunos),,,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,,,Programação III (42 alunos),,,,,
15:30 - 17:30,,,Programação IV (38 alunos),,,,,
,,,,,,,,
,,,,,,,,
Prof. Eta,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Redes I (20 alunos),Redes V (22 alunos),Redes IX (18 alunos),Redes XIII (24 alunos),Redes XVII (20 alunos),,,
10-12h,Redes II (22 alunos),Redes VI (18 alunos),Redes X (20 alunos),Redes XIV (22 alunos),Redes XVIII (18 alunos),,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Redes III (18 alunos),Redes VII (24 alunos),Redes XI (22 alunos),Redes XV (18 alunos),Redes XIX (24 alunos),,,
15:30 - 17:30,Redes IV (24 alunos),Redes VIII (20 alunos),Redes XII (24 alunos),Redes XVI (20 alunos),Redes XX (22 alunos),,,
,,,,,,,,
,,,,,,,,
Prof. Theta,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,SO I (15 alunos),SO V (20 alunos),SO IX (16 alunos),SO XIII (22 alunos),SO XVII (18 alunos),,,
10-12h,SO II (18 alunos),SO VI (16 alunos),SO X (18 alunos),SO XIV (20 alunos),SO XVIII (16 alunos),,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,SO III (20 alunos),SO VII (22 alunos),SO XI (20 alunos),SO XV (16 alunos),SO XIX (22 alunos),,,
15:30 - 17:30,SO IV (22 alunos),SO VIII (18 alunos),SO XII (22 alunos),SO XVI (18 alunos),SO XX (20 alunos),,,
,,,,,,,,
