,,,,,,,
CENÁRIO SATURADO - Mais aulas do que laboratórios comportam,,,,,,,,
,,,,,,,,
Prof. Silva,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Programação I,Programação I,Programação I,Programação I,Programação I,,,
10-12h,Programação II,Programação II,Programação II,Programação II,Programação II,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Programação III,Programação III,Programação III,Programação III,Programação III,,,
15:30 - 17:30,Programação IV,Programação IV,Programação IV,Programação IV,Programação IV,,,
,,,,,,,,
,,,,,,,,
Prof. Santos,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Banco de Dados I,Banco de Dados I,Banco de Dados I,Banco de Dados I,Banco de Dados I,,,
10-12h,Banco de Dados II,Banco de Dados II,Banco de Dados II,Banco de Dados II,Banco de Dados II,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Banco de Dados III,Banco de Dados III,Banco de Dados III,Banco de Dados III,Banco de Dados III,,,
15:30 - 17:30,Banco de Dados IV,Banco de Dados IV,Banco de Dados IV,Banco de Dados IV,Banco de Dados IV,,,
,,,,,,,,
,,,,,,,,
Prof. Oliveira,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Redes I,Redes I,Redes I,Redes I,Redes I,,,
10-12h,Redes II,Redes II,Redes II,Redes II,Redes II,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Redes III,Redes III,Redes III,Redes III,Redes III,,,
15:30 - 17:30,Redes IV,Redes IV,Redes IV,Redes IV,Redes IV,,,
,,,,,,,,
,,,,,,,,
Prof. Costa,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Sistemas Operacionais I,Sistemas Operacionais I,Sistemas Operacionais I,Sistemas Operacionais I,Sistemas Operacionais I,,,
10-12h,Sistemas Operacionais II,Sistemas Operacionais II,Sistemas Operacionais II,Sistemas Operacionais II,Sistemas Operacionais II,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Sistemas Operacionais III,Sistemas Operacionais III,Sistemas Operacionais III,Sistemas Operacionais III,Sistemas Operacionais III,,,
15:30 - 17:30,Sistemas Operacionais IV,Sistemas Operacionais IV,Sistemas Operacionais IV,Sistemas Operacionais IV,Sistemas Operacionais IV,,,
,,,,,,,,
,,,,,,,,
Prof. Pereira,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,Algoritmos I,Algoritmos I,Algoritmos I,Algoritmos I,Algoritmos I,,,
10-12h,Algoritmos II,Algoritmos II,Algoritmos II,Algoritmos II,Algoritmos II,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Algoritmos III,Algoritmos III,Algoritmos III,Algoritmos III,Algoritmos III,,,
15:30 - 17:30,Algoritmos IV,Algoritmos IV,Algoritmos IV,Algoritmos IV,Algoritmos IV,,,
,,,,,,,,
,,,,,,,,
Prof. Lima,Segunda,Terça,Quarta,Quinta,Sexta,,,
8-10h,IA Básica,IA Básica,IA Básica,IA Básica,IA Básica,,,
10-12h,IA Avançada,IA Avançada,IA Avançada,IA Avançada,IA Avançada,,,
12-13:30h,Almoço,Almoço,Almoço,Almoço,Almoço,,,
13:30 - 15:30,Machine Learning I,Machine Learning I,Machine Learning I,Machine Learning I,Machine Learning I,,,
15:30 - 17:30,Machine Learning II,Machine Learning II,Machine Learning II,Machine Learning II,Machine Learning II,,,
,,,,,,,,
